ip,first_seen,last_seen,categories,events,signals
91.225.162.152,2026-09-03T07:00:00Z,2026-09-03T07:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
93.48.225.80,2026-08-25T20:00:00Z,2026-09-04T00:00:00Z,1,36,honeypot_connection;honeypot_login_attempt
94.138.148.20,2026-09-03T12:00:00Z,2026-09-03T12:00:00Z,1,9,honeypot_command_exec;honeypot_connection;honeypot_file_download;honeypot_login_attempt
94.202.13.224,2026-08-31T12:00:00Z,2026-09-03T09:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
95.70.168.174,2026-09-03T19:00:00Z,2026-09-03T19:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
95.79.108.51,2026-08-26T14:00:00Z,2026-09-04T01:00:00Z,1,6,honeypot_connection;honeypot_login_attempt
95.81.123.91,2026-09-01T13:00:00Z,2026-09-04T04:00:00Z,1,514,honeypot_connection;honeypot_login_attempt
95.85.245.227,2026-09-03T11:00:00Z,2026-09-03T11:00:00Z,1,19,honeypot_command_exec;honeypot_connection;honeypot_file_download;honeypot_login_attempt
96.246.230.97,2026-09-03T22:00:00Z,2026-09-03T22:00:00Z,1,36,honeypot_command_exec;honeypot_connection;honeypot_file_download;honeypot_login_attempt
99.224.131.187,2026-09-03T12:00:00Z,2026-09-03T12:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
101.13.1.58,2026-09-02T10:00:00Z,2026-09-03T17:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
102.90.34.90,2026-09-03T21:00:00Z,2026-09-03T21:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
102.156.41.179,2026-09-03T13:00:00Z,2026-09-03T13:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
103.7.60.253,2026-09-01T23:00:00Z,2026-09-04T04:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
103.18.69.54,2026-09-03T06:00:00Z,2026-09-03T06:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
103.26.82.1,2026-09-03T08:00:00Z,2026-09-03T08:00:00Z,1,275,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
103.66.148.71,2026-08-19T17:00:00Z,2026-09-03T11:00:00Z,1,135,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
103.82.255.54,2026-09-03T12:00:00Z,2026-09-03T12:00:00Z,1,11,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
